PART_NUMBER,PART_DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,GROUP_5,SALES_PRICE,SALES_PRICE_RRP,UOM,SIZE_VALUE,SIZE_UOM,ITEM_TYPE,CUSTOM_WEIGHT,COUNTRY_OF_ORIGIN,BCRS,Image,scrape_tag
2480141,Chicken Bones,Butcher,Chicken,Fresh Chicken,,Refrigerated,1.0,1.0,Each,1.0,kg,Weighted,,Italia,No,https://www.greens.com.mt/media/products/0303/2480141.jpg,butcher
2480055,Chicken Breast Argentina Fire,Butcher,Chicken,Fresh Chicken,,Refrigerated,10.5,10.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480024,Chicken Breast Cubes,Butcher,Chicken,Fresh Chicken,Greens Products,Refrigerated,9.5,9.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/0133/2480024.jpg,butcher
2480049,Chicken Breast Honey Mustard,Butcher,Chicken,Fresh Chicken,,Refrigerated,10.5,10.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/1121/2480049.jpg,butcher
2480043,Chicken Breast Indian Mystery,Butcher,Chicken,Fresh Chicken,,Refrigerated,10.5,10.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/1121/2480043.jpg,butcher
2480037,Chicken Breast Mediterranean Herb,Butcher,Chicken,Fresh Chicken,,Refrigerated,10.5,10.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/1121/2480037.jpg,butcher
2480031,Chicken Breast Smokey Bbq,Butcher,Chicken,Fresh Chicken,,Refrigerated,10.5,10.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/1121/2480031.jpg,butcher
2480059,Chicken Drumsticks Argentina Fire,Butcher,Chicken,Fresh Chicken,,Refrigerated,7.5,7.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480053,Chicken Drumsticks Honey Mustard,Butcher,Chicken,Fresh Chicken,,Refrigerated,7.5,7.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480047,Chicken Drumsticks Indian Mystery,Butcher,Chicken,Fresh Chicken,,Refrigerated,7.5,7.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480041,Chicken Drumsticks Mediterrne Herb,Butcher,Chicken,Fresh Chicken,,Refrigerated,7.5,7.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480035,Chicken Drumsticks Smokey Bbq,Butcher,Chicken,Fresh Chicken,,Refrigerated,7.5,7.5,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480063,Chicken Free Range Parts,Butcher,Chicken,Fresh Chicken,,Refrigerated,14.99,14.99,Each,1.0,kg,Weighted,,Italia,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480029,Chicken Kievs,Butcher,Chicken,Fresh Chicken,,Refrigerated,9.75,9.75,Each,1.0,p,Weighted,,Hungary,No,https://www.greens.com.mt/media/products/0133/2480029.jpg,butcher
2480056,Chicken Legs Argentina Fire,Butcher,Chicken,Fresh Chicken,,Refrigerated,6.0,6.0,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480050,Chicken Legs Honey Mustard,Butcher,Chicken,Fresh Chicken,,Refrigerated,6.0,6.0,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
2480044,Chicken Legs Indian Mystery,Butcher,Chicken,Fresh Chicken,,Refrigerated,6.0,6.0,Each,1.0,kg,Weighted,,Malta,No,https://www.greens.com.mt/media/products/noimages.jpg,butcher
